German,Arabic
realisieren,تدرك
originale,أصلي
zusammenstellen,ضع سويا
experimenten,التجارب
kleinlich,تافه
erlebnisse,مغامرات
erbitten,طلب
abteilungsleiter,رئيس القسم
ergeht,يذهب
hegt,يضرب
tiefpunkt,قليل
verdecken,التغطية
wohlhabend,ثري
nachttisch,طاولة سرير جانبية
maultier,بغل
schimpft,وبخ
minderjährige,تحت السن القانوني
bescheidene,محتشم
ängsten,مخاوف
adriana,أدريانا
geburtstagsfeier,حفلة عيد ميلاد
giraffe,زرافة
atmest,يتنفس
einzulassen,اتركه
fegen,مسح
kollektiv,جماعي
ordentlichen,عادي
entschlüsselt,فك تشفير
fauchen,همسة
erfroren,المجمدة
bunt,متعدد الألوان
russisches,الروسية
kräht,كروش
lodge,النزل
nachtragend,لاحق
rekonstruieren,إعادة البناء
zuschlägt,أصابت
